Execution time: 3732.743196249008 seconds

Number of crossovers applied: 11985
Number of mutations applied: 978

Best individuals and their accuracies for each test:
Test 410 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 411 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 412 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 413 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 414 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 415 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 416 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 417 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 418 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 419 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 420 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 421 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 422 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 423 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 424 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 425 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 426 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 427 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 428 => Best Individual: 11001011, Fitness: 0.7987012987012987
